nom,ID,pays,discipline,année,médaille,saison
Aladr Gerevich (-Gerei),78230,Hungary,Fencing,1932,10,Summer
Zoltn Imre dn von Halmay,254343,Hungary,Swimming,1900,9,Summer
Katalin Kovcs,125646,Hungary,Canoeing,2000,8,Summer
"Margit Korondi (Kronstein-, -Plachy, -Szalay)",124480,Hungary,Gymnastics,1952,8,Summer
Krisztina Egerszegi,61644,Hungary,Swimming,1988,7,Summer
Pl dm Kovcs,125672,Hungary,Fencing,1936,7,Summer
Ildik Rejt-Ujlaky-Sgi,198844,Hungary,Fencing,1960,7,Summer
Rudolf Krpti,113904,Hungary,Fencing,1948,6,Summer
"Lszl Cseh, Jr.",46712,Hungary,Swimming,2004,6,Summer
"Alfred Gomer Albert ""Alf"" Swahn",233370,Sweden,Shooting,1908,9,Summer
Gert Fridolf Fredriksson,72681,Sweden,Canoeing,1948,8,Summer
Gustaf Vilhelm Carlberg,35484,Sweden,Shooting,1906,8,Summer
Agneta Monica Andersson,6907,Sweden,Canoeing,1984,7,Summer
Eric Otto Valdemar Lemming,136501,Sweden,Athletics,1906,6,Summer
Oscar Gomer Swahn,233386,Sweden,Shooting,1908,6,Summer
Johan Hbner von Holst,254375,Sweden,Shooting,1906,6,Summer
Gustaf Eric Carlberg,35461,Sweden,Shooting,1908,5,Summer
Claes Arne Borg,25760,Sweden,Swimming,1924,5,Summer
Emil Edvin Wide (Hermansson-),260027,Sweden,Athletics,1920,5,Summer
Aleksey Yuryevich Nemov,169657,Russia,Gymnastics,1996,12,Summer
Aliya Farkhatovna Mustafina,166652,Russia,Gymnastics,2012,7,Summer
Svetlana Vasilyevna Khorkina,117256,Russia,Gymnastics,1996,7,Summer
Anastasiya Semyonovna Davydova,50040,Russia,Synchronized Swimming,2004,5,Summer
Tatyana Romanovna Lebedeva,134327,Russia,Athletics,2000,5,Summer
Denis Mikhaylovich Ablyazin,789,Russia,Gymnastics,2012,5,Summer
Yuliya Vladimirovna Pakhalina,180408,Russia,Diving,2000,5,Summer
Nataliya Sergeyevna Ishchenko,103709,Russia,Synchronized Swimming,2008,5,Summer
Svetlana Alekseyevna Romashina,203709,Russia,Synchronized Swimming,2008,5,Summer
Anastasiya Nikolayevna Yermakova,265572,Russia,Synchronized Swimming,2004,4,Summer
